Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000007027,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000007318,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000001219,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000006483,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000006730,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000008342,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000000488,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000003062,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000006620,0.853415710466551,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000006845,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000007801,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000008195,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000002076,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000005462,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000006809,,,Ingredient,Other Ingredients,Acids,Other Acids
200000006621,"ACID,MALIC,40% SOLUTION,1000L",Global,ward_euclidean,185600.0,477144.6956222891,4,2,10,7,200000006831,,,Ingredient,Other Ingredients,Acids,Other Acids
