,Specification Number,Specification description,Region,Type,Volume,Spend,Cluster name,Level 0,Level 1,Level 2,Level 3,Level 4,nc_Model 1,nc_Model 2,nc_Model 3,nc_Model 4,nt_Model 1,nt_Model 2,nt_Model 3,nct_Model 1,nct_Model 2,nct_Model 3,nct_Model 4
26,200000004647,SUGAR&SWEETENER-REFINED SUGAR,Global,ward_euclidean,4580550.0,3328227.5460610157,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,2,36,2,0,6,1,6,3,1,0,1
27,200000004945,SUGAR_SUGAR and STARCH-BLEND-POWDER,Global,ward_euclidean,1689477.536,1771213.7719089338,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,62,0,62,56,1,4,1,12,13,7,82
28,200000005562, PLANTATION WHITE SUGAR 120 IU,Global,ward_euclidean,112809643.0,53322048.504348956,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,34,31,34,40,46,1,46,35,39,35,54
29,200000005581,Pulverised Sugar ICUMSA 120,Global,ward_euclidean,823271.0,499129.8968791703,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,59,24,59,49,2,19,2,30,41,61,86
30,200000005617,"Sugars, Refined",Global,ward_euclidean,1565000.0,1010623.4547298065,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,28,2,28,0,17,1,17,0,5,27,56
31,200000008084,SUGAR POWDERED REFINED B,Global,ward_euclidean,182550.0,124635.77303545715,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,27,23,27,48,24,16,24,45,12,45,81
32,200000000107,Sweetener-Sugar White Crystal,Global,ward_euclidean,14994000.0,5349390.548272945,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,5,6,5,3,40,19,40,26,34,26,52
33,200000000178,Sweetener-Sugar-Crystal,Global,ward_euclidean,68888290.5,21242787.276020925,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,54,6,54,3,9,19,9,15,4,3,8
34,200000000381,Sugar - Fine,Global,ward_euclidean,47905478.86099998,30850549.1852431,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,11,30,11,11,5,2,5,27,17,56,84
35,200000000512,MEALS ONLY - Manufacturers Sugar - Bags,Global,ward_euclidean,7200.0,5254.200661284721,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,8,9,8,7,2,2,2,8,1,8,24
36,200000000669,"""Meals Only""-Sugar - Sifted",Global,ward_euclidean,305000.0,281344.0225610211,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,46,42,46,53,32,22,32,46,27,46,71
37,200000001864,Sugar- 80 ICUMSA,Global,ward_euclidean,496100.0,299226.77413010754,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,26,3,26,52,16,24,16,22,31,22,41
38,200000001966,"Sweetener, Sugar, Refined",Global,ward_euclidean,165000.0,79630.54202511694,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,32,0,32,50,1,4,1,2,13,47,6
39,200000002371, Sugar (Fine granulated Refined),Global,ward_euclidean,7409375.0,3866455.3244729475,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,3,2,3,8,43,31,43,0,43,2,27
40,200000002516,SWEETENER-CRYSTAL-SEMI WHITE SUGAR,Global,ward_euclidean,10125600.0,2961527.4778620237,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,5,6,5,3,9,19,9,15,4,3,8
41,200000005824,Sweetwener-White Sugar (Direct),Global,ward_euclidean,4221300.0,2058375.2914480448,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,18,10,18,33,30,21,30,38,9,38,76
42,200000006224,STANDARD SUGAR,Global,ward_euclidean,4173824.5,2851131.043682381,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,29,0,29,1,2,19,2,5,1,60,1
43,200000006289,Sugar- Granular- Type A,Global,ward_euclidean,14942536.0,8835074.14547314,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,29,0,29,1,29,4,29,12,0,7,78
44,200000006457,Sugar-Grain-Common Sugar Type A,Global,ward_euclidean,13401650.0,8109531.959119833,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,Semi White 45I > 600I,35,17,35,16,49,12,49,28,15,58,59
45,200000007207,SWEETENER-POWDER-SUGAR CANE,Global,ward_euclidean,21532500.0,15189765.576383643,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,47,41,47,36,29,4,29,47,13,23,42
46,200000008286,Sugar-Granulated-NBI-No. 1 (sourced from cane),Global,ward_euclidean,54671224.68851198,55724905.66234821,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,24,11,24,23,11,10,11,51,19,51,48
47,200000008290,Sugar-Powdered-6X,Global,ward_euclidean,5640580.270526207,6782685.443545813,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,60,7,60,7,5,33,5,1,0,29,62
48,200000009233,Sugar/Golden Sugar - 350 IU,Global,ward_euclidean,25085671.0,15491328.009453693,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,39,4,39,44,11,10,11,17,3,17,46
49,200000000395,Sugar - Sanding,Global,ward_euclidean,7000.0,6355.9605063075105,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,11,30,11,11,41,14,41,27,17,56,70
50,200000002790,Sweetener-Sugar-Crystal- Big particle size -Category 2,Global,ward_euclidean,275740.0,141597.93456373885,,Ingredient,Sugars and Sweeteners,Sugars,Crystal & Refined,White <= 45I,6,8,6,32,3,6,3,7,2,1,72
