Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000007208,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000008653,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000002455,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000002785,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000005954,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000007090,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000000422,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000001014,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000005955,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000000081,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000000082,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000007192,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000007216,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000007237,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000000024,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000000085,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000001902,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000001923,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000005477,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000005677,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000007338,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000009719,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000000501,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000003153,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000003417,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000005865,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000005869,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000007208,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000008653,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000002455,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000002785,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000005954,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000007090,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000000422,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000005955,MEALS ONLY-Sodium Cyclamate Anhydrous,Global,ward_euclidean,575.0,2868.451207272727,2,0,2,4,200000001014,1.0000000000000002,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Other,Other
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000007192,1.0,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000000081,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000000082,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000005955,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000007216,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000007192,SWEETENER-POWDER-ASPARTAME,Global,ward_euclidean,807712.643,12182632.8338047,0,1,12,1,200000007237,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
