Specification Number,Color vs speckle,art vs non-art,pigment,hue,form,form2,water vs oil soluble,"H2 2021 - H1 2022 volume - NA, KG","H2 2021 - H1 2022 volume - MEU, KG","H2 2021 - H1 2022 volume - LA, KG","H2 2021 - H1 2022 volume - AMEA, KG","H2 2021 - H1 2022 spend - NA, USD","H2 2021 - H1 2022 spend - MEU, USD","H2 2021 - H1 2022 spend - LA, USD","H2 2021 - H1 2022 spend - AMEA, USD","H2 2021 - H1 2022 average price - NA, USD/ton","H2 2021 - H1 2022 average price - MEU, USD/ton","H2 2021 - H1 2022 average price - LA, USD/ton","H2 2021 - H1 2022 average price - AMEA, USD/ton",Buy Menu Card - NA - Menu Card Color,Buy Menu Card - MEU - Menu Card Color,Buy Menu Card - LA - Menu Card Color,Buy Menu Card - AMEA - Menu Card Color,Specification description,Classification
200000005585,Colors,Artificial,carmine,blue,powder,,,0,0,0,30,0,0,0,758.7926259,,,,25293.08753,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),"Indigo Carmine, Colour",Ingredient-Other Ingredients-Colors-Artificial
200000005586,Colors,Artificial,sunset yellow,yellow,powder,,,0,0,0,24,0,0,0,130.9047302,,,,5454.363759,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),Sunset Yellow Colour,Ingredient-Other Ingredients-Colors-Artificial
200000005587,Colors,Artificial,green blends,green,powder,,water soluble,0,0,0,150,0,0,0,2004.701057,,,,13364.67371,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),"Green (Composite), Colour",Ingredient-Other Ingredients-Colors-Artificial
200000005588,Colors,Artificial,erythrosine,red,powder,,water soluble,0,0,0,150,0,0,0,9824.565033,,,,65497.10022,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),"Red 2 (Erythrosine), Colour",Ingredient-Other Ingredients-Colors-Artificial
200000005589,Colors,Artificial,ponceau 4r,red,powder,,water soluble,0,0,0,138,0,0,0,920.2408397,,,,6668.411882,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),"Red 4 (Ponceau 4R), Colour",Ingredient-Other Ingredients-Colors-Artificial
200000005747,Colors,Non Artificial,caramel,,liquid,,,0,0,0,1920,0,0,0,9429.323015,,,,4911.105737,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),COLOR-LIQUID-CARAMEL,Ingredient-Other Ingredients-Colors-Non Artificial
200000005821,Colors,Non Artificial,annatto,red,liquid,,,1741.799,0,0,0,23449.18524,0,0,0,13462.62413,,,,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,Color-liquid-Annatto-oil soluble-1.5%Bixin,Ingredient-Other Ingredients-Colors-Non Artificial
200000005870,Colors,Non Artificial,caramel,,powder,,,0,0,32670,0,0,0,62556.47806,0,,,1914.798839,,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,Color-Powder-Caramel,Ingredient-Other Ingredients-Colors-Non Artificial
200000005892,Colors,Artificial, TRICALCIUM ORTHOPHOSPHATE ,black,powder,,,0,0,95740,0,0,0,605976.6806,0,,,6329.399212,,,RED - Do not re-use,RED - Do not re-use,,Color-Powder-Mixture AB 07,Ingredient-Other Ingredients-Colors-Artificial
200000005966,Colors,Artificial,sunset yellow,yellow,powder,,,0,0,0,3920,0,0,0,76732.25985,,,,19574.55609,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),Color Sunset Yellow-85%,Ingredient-Other Ingredients-Colors-Artificial
200000006206,Colors,Non Artificial,caramel,,liquid,,,0,0,100,0,0,0,204,0,,,2040,,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,COLOR-LIQUID-CARAMEL2X,Ingredient-Other Ingredients-Colors-Non Artificial
200000006260,Colors,Non Artificial, CANOLA OIL ,orange,,,oil soluble,0,0,419.76,0,0,0,6794.639455,0,,,16186.96268,,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,MEALS ONLY - ANNATO LIPOSOLUBLE,Ingredient-Other Ingredients-Colors-Non Artificial
200000006389,Colors,Non Artificial,carmine,red,liquid,,,0,0,1090,0,0,0,22299.9,0,,,20458.62385,,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,Color-Carmine 4% Liquid,Ingredient-Other Ingredients-Colors-Non Artificial
200000006432,Colors,Non Artificial,caramel,brown,powder,,,0,0,175,0,0,0,2175.25,0,,,12430,,,,,,MEALS ONLY - Color-Powder- Caramel,Ingredient-Other Ingredients-Colors-Non Artificial
200000006453,Colors,Artificial,allura red,red,powder,,,0,0,1220,0,0,0,29371.4,0,,,24074.91803,,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,Color-Powder-Red 40,Ingredient-Other Ingredients-Colors-Artificial
200000006473,Colors,Non Artificial,caramel,,powder,,,0,0,23980,0,0,0,202560.272,0,,,8447.050544,,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,Color-Powder-Caramel,Ingredient-Other Ingredients-Colors-Non Artificial
200000006504,Colors,Artificial,caramel,brown,liquid,,,7536.533,0,0,0,25089.12,0,0,0,3329.000218,,,,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,COLOR-LIQUID-CARAMEL-CLASS IV-ACID PROOF-DOUBLE STRENGTH,Ingredient-Other Ingredients-Colors-Artificial
200000006727,Speckles,Speckles or Glitters,tartrazine,green,,lake,,40,0,0,40,580.8,0,0,2148.937604,14520,,,53723.44009,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),YELLOW - Exceptional re-use (see Comments),COLOR-MINT GREEN LAKE-BLEND,Ingredient-Other Ingredients-Colors-Speckles or Glitters
200000006729,Colors,Artificial,green blends,green,liquid,,,0,0,4000,0,0,0,112985.5,0,,,28246.375,,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,"COLOR-LIQUID-DARK GREEN PROHIBITED IN FOODS IN EU, DO NOT USE IN NEW DEV – see notes",Ingredient-Other Ingredients-Colors-Artificial
200000006947,Colors,Artificial,tartrazine,yellow,powder,,,400,100,0,0,6341.217466,2529.746014,0,0,15853.04367,25297.46014,,,GREEN - Use/Re-use (also check Regulatory Compliance section),YELLOW - Exceptional re-use (see Comments),GREEN - Use/Re-use (also check Regulatory Compliance section),YELLOW - Exceptional re-use (see Comments),COLOR-GRANULAR-FDAND C-YELLOW-NO 5,Ingredient-Other Ingredients-Colors-Artificial
200000006987,Speckles,Speckles or Glitters,brilliant blue,blue,,lake,,1045.807,0,2562.78,1836.8,47813.05,0,161496.2008,111229.3767,45718.80854,,63016.02198,60556.06312,GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),COLOR-FLAKE-0.5 PERCENT-MENTHOLATED BLUE GLITTER,Ingredient-Other Ingredients-Colors-Speckles or Glitters
200000007124,Colors,Artificial,tartrazine,yellow,powder,,,16,0,700,0,286.5983245,0,5224.8,0,17912.39528,,7464,,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),COLOR-POWDER-YELLOW - FD&C Yellow #5,Ingredient-Other Ingredients-Colors-Artificial
200000007127,Colors,Artificial,brilliant blue,blue,powder,lake,,0,0,1260,275,0,0,29966.08799,15048.62591,,,23782.60952,54722.27603,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),YELLOW - Exceptional re-use (see Comments),COLOR-POWDER-BLUE,Ingredient-Other Ingredients-Colors-Artificial
200000007129,Colors,Artificial,beetroot / red beet,red,powder,,,3099.933,0,4840,0,57629.57,0,95581.4,0,18590.58567,,19748.22314,,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),COLOR-POWDER-RED,Ingredient-Other Ingredients-Colors-Artificial
200000007130,Colors,Artificial,curcumin / turmeric,yellow,powder,,,1119.996388,0,1259.1,30,12239.75887,0,22495.02,869.190893,10928.39138,,17865.95187,28973.02977,GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),YELLOW - Exceptional re-use (see Comments),COLOR-POWDER-YELLOW - Non Turmeric,Ingredient-Other Ingredients-Colors-Artificial
200000007133,Colors,Artificial,allura red,red,powder,,,1000,0,1400,0,31492.27107,0,24519.8695,0,31492.27107,,17514.1925,,GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),YELLOW - Exceptional re-use (see Comments),COLOR-POWDER-RED-PROPOSED HARMONIZE TO 10132445,Ingredient-Other Ingredients-Colors-Artificial
200000007141,Colors,Artificial,indigotine,blue,powder,,,16,0,70,0,1476.835748,0,3258,0,92302.23426,,46542.85714,,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,COLOR-POWDER-BLUE,Ingredient-Other Ingredients-Colors-Artificial
200000007164,Colors,Artificial,tartrazine,green,powder,lake,,4019.929,0,0,0,100437.6011,0,0,0,24984.91917,,,,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),COLOR-SOURAPPLEGREEN,Ingredient-Other Ingredients-Colors-Artificial
200000007177,Colors,Artificial,brilliant blue,blue,powder,,,140,0,660,0,2706.02368,0,15397.2,0,19328.74057,,23329.09091,,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),COLOR-BLUE 2,Ingredient-Other Ingredients-Colors-Artificial
200000007178,Colors,Artificial,carmine lake,yellow,powder,lake,,1879.994053,0,60,20,15149.86088,0,990,659.8949102,8058.462131,,16500,32994.74551,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),YELLOW - Exceptional re-use (see Comments),COLOR-POWDER-YELLOW 6-LAKE,Ingredient-Other Ingredients-Colors-Artificial
200000007214,Colors,Artificial,allura red,red,powder,lake,,459.9949048,0,0,0,18739.20038,0,0,0,40737.84337,,,,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,COLOR-POWDER-GRAPELAKE,Ingredient-Other Ingredients-Colors-Artificial
200000007239,Colors,Artificial,beetroot / red beet,red,liquid,,,1594.06964,0,0,0,30166.07,0,0,0,18923.93484,,,,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,"COLOR-LIQUID-RED-OPACOLOR PROHIBITED IN FOODS IN EU, DO NOT USE IN NEW DEV – see notes",Ingredient-Other Ingredients-Colors-Artificial
200000007246,Colors,Artificial,beetroot / red beet,red,liquid,,,0,0,1275,0,0,0,34325.5,0,,,26921.96078,,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,"COLOR-LIQUID-RED PROHIBITED IN FOODS IN EU, DO NOT USE IN NEW DEV – see notes",Ingredient-Other Ingredients-Colors-Artificial
200000007331,Colors,Non Artificial,anthocyanins,red,liquid,,,0,0,0,1170,0,0,0,37685.30078,,,,32209.65879,,,,GREEN - Use/Re-use (also check Regulatory Compliance section),"Color, Liquid, Red,Natural-PROPOSED HARMONIZE TO 10084625",Ingredient-Other Ingredients-Colors-Non Artificial
200000007332,Colors,Non Artificial,beetroot / red beet,red,liquid,,,0,0,0,480,0,0,0,32420.37441,,,,67542.4467,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),"Color, Liquid, Red, Natural",Ingredient-Other Ingredients-Colors-Non Artificial
200000008272,Colors,Artificial,caramel,,liquid,,,55288.353,0,0,0,89435.01091,0,0,0,1617.610329,,,,GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),Color-Liquid-Caramel-Class IV,Ingredient-Other Ingredients-Colors-Artificial
200000009067,Colors,Others, GLYCEROL ,brown,liquid,,,0,0,10,0,0,0,450.25,0,,,45025,,,RED - Do not re-use,RED - Do not re-use,,COLOR-LIQUID-NATURAL BETA CAROTENE 3%,Ingredient-Other Ingredients-Colors-Others
200000009564,Colors,Artificial,orange blends,orange,powder,,,0,0,0,75600,0,0,0,524121.307,,,,6932.821521,RED - Do not re-use,RED - Do not re-use,,RED - Do not re-use,ORPHAN - Shade Orange (SO-50),Ingredient-Other Ingredients-Colors-Artificial
200000010027,Colors,Artificial,beetroot / red beet,red,liquid,,,0,0,0,0,0,0,0,0,,,,,,,,,EM INGREDIENT -COL-BRIGHT PINK DISPERSION-LIQUID,Ingredient-Other Ingredients-Colors-Artificial
200000000040,Colors,Non Artificial,carmine,red,liquid,,,0,200,0,0,0,11174.21248,0,0,,55871.06238,,,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,RED - Do not re-use,Color-Oil Dispersible Carmine,Ingredient-Other Ingredients-Colors-Non Artificial
200000000219,Colors,Artificial,amaranth,red,powder,lake,water insoluble,0,0,0,300,0,0,0,12232.18,,,,40773.93333,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),Red No. 2 Lake (19-26%) Color-Powder-Art-Amaranth,Ingredient-Other Ingredients-Colors-Artificial
200000000411,Colors,Non Artificial,curcumin / turmeric,,,,,135.7873012,0,0,0,3758.618248,0,0,0,27680.18965,,,,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,Turmeric Oleoresin,Ingredient-Other Ingredients-Colors-Non Artificial
200000000429,Colors,Artificial,tartrazine,red,liquid,lake,,20,0,0,0,934.204211,0,0,0,46710.21055,,,,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,Maple Ultralake,Ingredient-Other Ingredients-Colors-Artificial
200000000640,Colors,Non Artificial,carmine,purple,liquid,,,0,240,0,0,0,5744.219038,0,0,,23934.24599,,,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,Color Carmines,Ingredient-Other Ingredients-Colors-Non Artificial
200000000828,Colors,Artificial,tartrazine,brown,powder,,,0,0,200,0,0,0,5855.4,0,,,29277,,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),RED - Do not re-use,Color-Powder-Coffee Blend-Artifitial,Ingredient-Other Ingredients-Colors-Artificial
200000000852,Colors,Non Artificial,carmine,red,liquid,,,0,120,0,0,0,8646.558536,0,0,,72054.65447,,,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,Color-Carmine Red,Ingredient-Other Ingredients-Colors-Non Artificial
200000000868,Colors,Non Artificial,spinach,,liquid,,,0,5,0,0,0,1260.564997,0,0,,252112.9993,,,RED - Do not re-use,YELLOW - Exceptional re-use (see Comments),RED - Do not re-use,RED - Do not re-use,Color-Liquid-Spinach-Natural,Ingredient-Other Ingredients-Colors-Non Artificial
200000000936,Colors,Non Artificial,carmine,red,liquid,,,0,0,0,50,0,0,0,1790.233536,,,,35804.67072,RED - Do not re-use,RED - Do not re-use,RED - Do not re-use,GREEN - Use/Re-use (also check Regulatory Compliance section),MEALS ONLY - Colour Carmine,Ingredient-Other Ingredients-Colors-Non Artificial
200000001282,Colors,Non Artificial, GUM ARABIC ,,powder,,,0,0,0,15530,0,0,0,871275.8006,,,,56102.75599,GREEN - Use/Re-use (also check Regulatory Compliance section),YELLOW - Exceptional re-use (see Comments),GREEN - Use/Re-use (also check Regulatory Compliance section),GREEN - Use/Re-use (also check Regulatory Compliance section),Color-Powder-Carotene-Natural,Ingredient-Other Ingredients-Colors-Non Artificial
