feature_name,Model 1,feature_imp_scaled_vals,Region,Model,Model 2
min,1.0,0.025515369048243704,MEU,Model 1,
comparison,1.0,0.024484517239299435,MEU,Model 1,
aocs,1.0,0.014227320035812695,MEU,Model 1,
use,1.0,0.014026446946474395,MEU,Model 1,
harmonized,1.0,0.01384910598853907,MEU,Model 1,
hplc,1.0,0.011446821532582186,MEU,Model 1,
medium,1.0,0.011124187205724162,MEU,Model 1,
gran,1.0,0.0076213344432489874,MEU,Model 1,
proposedharmonizeto,1.0,0.007609001529647559,MEU,Model 1,
fine,1.0,0.0070215307631789105,MEU,Model 1,
gmo,1.0,0.006079588820782779,MEU,Model 1,
opalescencesolution,1.0,0.005860511052871147,MEU,Model 1,
non,1.0,0.005376935258749057,MEU,Model 1,
monohydrate,1.0,0.005182087915772102,MEU,Model 1,
granular,1.0,0.0040319391363369695,MEU,Model 1,
citricacidnon,1.0,0.0033040591979393644,MEU,Model 1,
mediumgran,1.0,0.0027785230631422885,MEU,Model 1,
color,1.0,0.0025695815199474896,MEU,Model 1,
citricacidmonohydratedfinegranular,1.0,0.0,MEU,Model 1,
citricacidmonohydrate,1.0,0.0,MEU,Model 1,
cformin,1.0,0.0,MEU,Model 1,
donot,1.0,0.0,MEU,Model 1,
thiswillbeharmonizedto,1.0,0.0,MEU,Model 1,
comparativesolution,1.0,0.0,MEU,Model 1,
Quantitative - Assay (anhydrous basis) - Max,2.0,1.0,MEU,Model 1,
colour,2.0,0.9600503132461685,MEU,Model 1,
comparision,2.0,0.6731633577650312,MEU,Model 1,
Total Solids %,2.0,0.6307541424886132,MEU,Model 1,
Quantitative - Moisture - Max,2.0,0.5488296004080855,MEU,Model 1,
water,2.0,0.429799185159575,MEU,Model 1,
Storage - Bag/Pouch/Sachet - Total Shelf Life,2.0,0.41093679738890243,MEU,Model 1,
monohydrated,2.0,0.39661951925696676,MEU,Model 1,
"Standard Composition - CITRIC ACID - Value, %",2.0,0.34079663054712567,MEU,Model 1,
citric,2.0,0.2534970235161643,MEU,Model 1,
eur,2.0,0.2197681980804242,MEU,Model 1,
