Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000001439,Additive-Citric Acid,MEU,ward_euclidean,17875.0,41929.03104594578,8,2,8,200000000289,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000001439,Additive-Citric Acid,MEU,ward_euclidean,17875.0,41929.03104594578,8,2,8,200000000616,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000001439,Additive-Citric Acid,MEU,ward_euclidean,17875.0,41929.03104594578,8,2,8,200000000638,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000001439,Additive-Citric Acid,MEU,ward_euclidean,17875.0,41929.03104594578,8,2,8,200000000723,0.8712042895649807,,Additive,Citric Acid,Citric Acid,Citric Acid
200000001439,Additive-Citric Acid,MEU,ward_euclidean,17875.0,41929.03104594578,8,2,8,200000005407,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000001439,Additive-Citric Acid,MEU,ward_euclidean,17875.0,41929.03104594578,8,2,8,200000006653,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000001439,Additive-Citric Acid,MEU,ward_euclidean,17875.0,41929.03104594578,8,2,8,200000006712,,,Additive,Citric Acid,Citric Acid,Citric Acid
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000006808,0.9999999999999998,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000002395,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000006627,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000006843,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000006844,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000006846,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000007251,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
200000006808,"ACID- CITRIC ACID 49,75%",MEU,ward_euclidean,300.0,3977.7501700000003,7,0,7,200000007732,,,ACID," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"," CITRIC ACID 49,75%"
